SPECIAL EVENTS CALENDAR 2017,,,,,,,,
,,,,,,,,
UPDATED 28 February 2017,,,,,,,,
,,,,,,,,Buses booked
Day,Date,Type,Event,Kick off,Vehicle Requirement,Tacho,Comments,out by
,,,,,,,,
,,,,,Ferry Vehicle,No,Duty 9735 513A 1225 - 0020 30 minute break to be arranged,Night Chargehand
Tues,240117,Football,Fulham,2000,RTL 30 x DD 5 x SD,No,F41 only,Control
Wed,250117,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Wed,250117,Southern Rail Repl,Redhill area,,DD High Speed,No,Duty 9730 501A 0425 - 1620 30 minute break to be arranged,Night Chargehand
,,CANCELLED,,,DD High Speed,No,Duty 9731 502A 0425 - 1620 30 minute break to be arranged,Night Chargehand
,,,,,Ferry Vehicle,No,Duty 9732 511A 1225 - 0020 30 minute break to be arranged,Night Chargehand
,,,,,Ferry Vehicle,No,Duty 9733 512A 1225 - 0020 30 minute break to be arranged,Night Chargehand
,,,,,SD High Back Seats,No,Duty 9734 503A 0425 - 1620 30 minute break to be arranged,Night Chargehand
,,,,,Ferry Vehicle,No,Duty 9735 513A 1225 - 0020 30 minute break to be arranged,Night Chargehand
Thurs,260117,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Fri,270117,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Fri,270117,Southern Rail Repl,Redhill area,,DD High Speed,No,Duty 9730 501A 0425 - 1620 30 minute break to be arranged,Night Chargehand
,,CANCELLED,,,DD High Speed,No,Duty 9731 502A 0425 - 1620 30 minute break to be arranged,Night Chargehand
,,,,,Ferry Vehicle,No,Duty 9732 511A 1225 - 0020 30 minute break to be arranged,Night Chargehand
,,,,,Ferry Vehicle,No,Duty 9733 512A 1225 - 0020 30 minute break to be arranged,Night Chargehand
,,,,,SD High Back Seats,No,Duty 9734 503A 0425 - 1620 30 minute break to be arranged,Night Chargehand
,,,,,Ferry Vehicle,No,Duty 9735 513A 1225 - 0020 30 minute break to be arranged,Night Chargehand
Sat ,280117,Football,Cardiff City,1500,RTL 31 x DD 5 x SD,No,F40 and F41,Control
Sat,280117,GWR Rail Repl,Twyford and,,SD High Back Seats,No,Duty 9730 39A 2329 - 0155,Night Chargehand
