"","routeNo","nClaims","rank","cumPctRoutes","pctClaims","cumPctClaims"
"121","0170",1,121,0.537777777777778,0.000946969696969697,0.901515151515151
"122","017D",1,122,0.542222222222222,0.000946969696969697,0.902462121212121
"123","017F",1,123,0.546666666666667,0.000946969696969697,0.903409090909091
"124","017I",1,124,0.551111111111111,0.000946969696969697,0.904356060606061
"125","017K",1,125,0.555555555555556,0.000946969696969697,0.90530303030303
"126","017L",1,126,0.56,0.000946969696969697,0.90625
"127","019D",1,127,0.564444444444444,0.000946969696969697,0.90719696969697
"128","0203",1,128,0.568888888888889,0.000946969696969697,0.908143939393939
"129","0210",1,129,0.573333333333333,0.000946969696969697,0.909090909090909
"130","0213",1,130,0.577777777777778,0.000946969696969697,0.910037878787879
"131","0218",1,131,0.582222222222222,0.000946969696969697,0.910984848484849
"132","0219",1,132,0.586666666666667,0.000946969696969697,0.911931818181818
"133","021a",1,133,0.591111111111111,0.000946969696969697,0.912878787878788
"134","021C",1,134,0.595555555555556,0.000946969696969697,0.913825757575758
"135","0220",1,135,0.6,0.000946969696969697,0.914772727272727
"136","0223",1,136,0.604444444444444,0.000946969696969697,0.915719696969697
"137","0228",1,137,0.608888888888889,0.000946969696969697,0.916666666666667
"138","0229",1,138,0.613333333333333,0.000946969696969697,0.917613636363636
"139","023E",1,139,0.617777777777778,0.000946969696969697,0.918560606060606
"140","024A",1,140,0.622222222222222,0.000946969696969697,0.919507575757576
"141","024B",1,141,0.626666666666667,0.000946969696969697,0.920454545454545
"142","024D",1,142,0.631111111111111,0.000946969696969697,0.921401515151515
"143","026E",1,143,0.635555555555556,0.000946969696969697,0.922348484848485
"144","028A",1,144,0.64,0.000946969696969697,0.923295454545455
"145","0308",1,145,0.644444444444444,0.000946969696969697,0.924242424242424
"146","033G",1,146,0.648888888888889,0.000946969696969697,0.925189393939394
"147","0407",1,147,0.653333333333333,0.000946969696969697,0.926136363636364
"148","0412",1,148,0.657777777777778,0.000946969696969697,0.927083333333333
"149","0414",1,149,0.662222222222222,0.000946969696969697,0.928030303030303
"150","0415",1,150,0.666666666666667,0.000946969696969697,0.928977272727273
"151","0416",1,151,0.671111111111111,0.000946969696969697,0.929924242424242
"152","0417",1,152,0.675555555555556,0.000946969696969697,0.930871212121212
"153","0421",1,153,0.68,0.000946969696969697,0.931818181818182
"154","0423",1,154,0.684444444444444,0.000946969696969697,0.932765151515151
"155","0427",1,155,0.688888888888889,0.000946969696969697,0.933712121212121
"156","04KC",1,156,0.693333333333333,0.000946969696969697,0.934659090909091
"157","05/6",1,157,0.697777777777778,0.000946969696969697,0.935606060606061
"158","050I",1,158,0.702222222222222,0.000946969696969697,0.93655303030303
"159","0516",1,159,0.706666666666667,0.000946969696969697,0.9375
"160","051A",1,160,0.711111111111111,0.000946969696969697,0.93844696969697
"161","0525",1,161,0.715555555555556,0.000946969696969697,0.939393939393939
"162","0526",1,162,0.72,0.000946969696969697,0.940340909090909
"163","052A",1,163,0.724444444444444,0.000946969696969697,0.941287878787879
"164","060C",1,164,0.728888888888889,0.000946969696969697,0.942234848484849
"165","060M",1,165,0.733333333333333,0.000946969696969697,0.943181818181818
"166","0654",1,166,0.737777777777778,0.000946969696969697,0.944128787878788
"167","0754",1,167,0.742222222222222,0.000946969696969697,0.945075757575758
"168","0755",1,168,0.746666666666667,0.000946969696969697,0.946022727272727
"169","0764",1,169,0.751111111111111,0.000946969696969697,0.946969696969697
"170","0765",1,170,0.755555555555556,0.000946969696969697,0.947916666666667
"171","0774",1,171,0.76,0.000946969696969697,0.948863636363636
"172","0804",1,172,0.764444444444444,0.000946969696969697,0.949810606060606
"173","0806",1,173,0.768888888888889,0.000946969696969697,0.950757575757576
"174","0809",1,174,0.773333333333333,0.000946969696969697,0.951704545454545
"175","0810",1,175,0.777777777777778,0.000946969696969697,0.952651515151515
"176","0842",1,176,0.782222222222222,0.000946969696969697,0.953598484848485
"177","0848",1,177,0.786666666666667,0.000946969696969697,0.954545454545455
"178","0849",1,178,0.791111111111111,0.000946969696969697,0.955492424242424
